"Key","ID","RecordKey","External key","Source","Rank","Taxon","Common name","Taxon group","Kingdom","Order","Family","TaxonVersionKey","Site name","Original map ref","Latitude","Longitude","Projection (input)","Precision","Output map ref","Projection (output)","Biotope","VC number","Vice County","Date interpreted","Date from","Date to","Date type","Sample method","Recorder","Determiner","Recorder certainty","Sex","Stage","Count of sex or stage","Zero abundance","Comment","Sample comment","Images","Input on date","Last edited on date","Verification status 1","Verification status 2","Query","Verifier","Verified on","Licence","Automated checks"
290,"28929561","iBRC28929561","","iRecord | iRecord general data","Species","Helophilus pendulus","","insect - true fly (Diptera)","Animalia","Diptera","Syrphidae","NBNSYS0000007057","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","F","FALSE","Third black tibia","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 20:42","Accepted","Considered correct","","Morris, Roger","18/12/2022 20:42","","Failed checks"
291,"28929560","iBRC28929560","","iRecord | iRecord general data","Species","Nargus wilkini","","insect - beetle (Coleoptera)","Animalia","Coleoptera","Leiodidae","NBNSYS0000023000","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","12/04/2023 09:02","Unconfirmed","Not reviewed","","","","","Passed checks"
292,"28929559","iBRC28929559","","iRecord | iRecord general data","Species","Cortinicara gibbosa","","insect - beetle (Coleoptera)","Animalia","Coleoptera","Latridiidae","NBNSYS0000024763","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","O","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Passed checks"
293,"28929557","iBRC28929557","","iRecord | iRecord general data","Species","Betulapion simile","","insect - beetle (Coleoptera)","Animalia","Coleoptera","Apionidae","NHMSYS0020151495","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","12/04/2023 09:02","Accepted","Considered correct","","Stenhouse, Don","27/12/2022 07:27","","Passed checks"
294,"28929556","iBRC28929556","","iRecord | iRecord general data","Species","Xantholinus linearis","","insect - beetle (Coleoptera)","Animalia","Coleoptera","Staphylinidae","NBNSYS0000023426","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","male","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","27/12/2022 07:27","Accepted","Considered correct","","Stenhouse, Don","27/12/2022 07:27","","Passed checks"
295,"28929555","iBRC28929555","","iRecord | iRecord general data","Species","Oulema duftschmidi","","insect - beetle (Coleoptera)","Animalia","Coleoptera","Chrysomelidae","NBNSYS0000152996","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","O","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","12/04/2023 09:02","Unconfirmed","Not reviewed","","","","","Passed checks"
296,"28929553","iBRC28929553","","iRecord | iRecord general data","Species","Contacyphon pubescens","","insect - beetle (Coleoptera)","Animalia","Coleoptera","Scirtidae","NHMSYS0021422159","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","male","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","12/04/2023 09:02","Accepted","Considered correct","","Foster, Garth","27/12/2022 16:46","","Passed checks"
297,"28929550","iBRC28929550","","iRecord | iRecord general data","Species","Pararge aegeria","Speckled Wood","insect - butterfly","Animalia","Lepidoptera","Nymphalidae","NHMSYS0000523344","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","O","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","20/12/2022 08:11","Accepted","Considered correct","","Adams, Rupert","20/12/2022 08:11","","Passed checks"
298,"28929547","iBRC28929547","","iRecord | iRecord general data","Species","Dicranotropis hamata","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Delphacidae","NBNSYS0000010750","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","female","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","22/12/2022 18:51","Accepted","Considered correct","","Stewart, Alan","22/12/2022 18:51","","Passed checks"
299,"28929546","iBRC28929546","","iRecord | iRecord general data","Species","Conomelus anceps","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Delphacidae","NHMSYS0020705295","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","O","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","22/12/2022 18:51","Accepted","Considered correct","","Stewart, Alan","22/12/2022 18:51","","Passed checks"
300,"28929543","iBRC28929543","","iRecord | iRecord general data","Species","Balclutha punctata","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Cicadellidae","NHMSYS0020705244","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","male","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","22/12/2022 18:51","Accepted","Considered correct","","Stewart, Alan","22/12/2022 18:51","","Failed checks"
301,"28929542","iBRC28929542","","iRecord | iRecord general data","Species","Scolopostethus decoratus","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Lygaeidae","NHMSYS0020309809","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Failed checks"
302,"28929541","iBRC28929541","","iRecord | iRecord general data","Species","Kleidocerys resedae","Birch Catkin Bug","insect - true bug (Hemiptera)","Animalia","Hemiptera","Lygaeidae","NHMSYS0020309344","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","A","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Failed checks"
303,"28929539","iBRC28929539","","iRecord | iRecord general data","Species","Orthotylus (Litocoris) ericetorum","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Miridae","NHMSYS0020309585","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Failed checks"
304,"28929538","iBRC28929538","","iRecord | iRecord general data","Species","Lygus rugulipennis","European Tarnished Plant Bug","insect - true bug (Hemiptera)","Animalia","Hemiptera","Miridae","NHMSYS0020309398","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","O","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Failed checks"
305,"28929537","iBRC28929537","","iRecord | iRecord general data","Species","Bryocoris pteridis","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Miridae","NHMSYS0020309009","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Passed checks"
306,"28929536","iBRC28929536","","iRecord | iRecord general data","Species","Anthocoris nemorum","Common Flower Bug","insect - true bug (Hemiptera)","Animalia","Hemiptera","Anthocoridae","NHMSYS0020308938","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Failed checks"
307,"28929535","iBRC28929535","","iRecord | iRecord general data","Species","Elasmostethus interstinctus","Birch Shieldbug","insect - true bug (Hemiptera)","Animalia","Hemiptera","Acanthosomatidae","NHMSYS0020309198","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","25/01/2023 14:20","Accepted","Considered correct","","Bantock, Tristan","25/01/2023 14:20","","Passed checks"
308,"28929534","iBRC28929534","","iRecord | iRecord general data","Species","Dolycoris baccarum","Hairy Shieldbug","insect - true bug (Hemiptera)","Animalia","Hemiptera","Pentatomidae","NHMSYS0020309177","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","27/01/2023 11:00","Accepted","Considered correct","","Bantock, Tristan","27/01/2023 11:00","","Passed checks"
309,"28929533","iBRC28929533","","iRecord | iRecord general data","Species","Sympetrum striolatum","Common Darter","insect - dragonfly (Odonata)","Animalia","Odonata","Libellulidae","NBNSYS0000005645","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","19/12/2022 12:47","Accepted","Considered correct","","Roberts, John","19/12/2022 12:47","","Passed checks"
310,"28929532","iBRC28929532","","iRecord | iRecord general data","Species","Chrysoperla carnea sensu stricto","","insect - lacewing (Neuroptera)","Animalia","Neuroptera","Chrysopidae","NHMSYS0000869548","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","R","FALSE","keyed","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Passed checks"
311,"28929531","iBRC28929531","","iRecord | iRecord general data","Species","Oniscus asellus","Common Shiny Woodlouse","crustacean","Animalia","Isopoda","Oniscidae","NBNSYS0000008561","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 20:42","Accepted","Considered correct","","Gregory, Steve","18/12/2022 20:42","","Passed checks"
312,"28929528","iBRC28929528","","iRecord | iRecord general data","Species","Paroligolophus agrestis","","harvestman (Opiliones)","Animalia","Opiliones","Phalangiidae","NBNSYS0000013853","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","mixed","adult","O","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","25/03/2023 09:10","Accepted","Considered correct","","Rostron, Glenn","25/03/2023 09:10","","Passed checks"
313,"28929526","iBRC28929526","","iRecord | iRecord general data","Species","Tenuiphantes zimmermanni","","spider (Araneae)","Animalia","Araneae","Linyphiidae","NHMSYS0020786004","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","female","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Failed checks"
314,"28929525","iBRC28929525","","iRecord | iRecord general data","Species","Tenuiphantes tenuis","","spider (Araneae)","Animalia","Araneae","Linyphiidae","NHMSYS0020786003","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","male","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Failed checks"
315,"28929521","iBRC28929521","","iRecord | iRecord general data","Species","Linyphia triangularis","","spider (Araneae)","Animalia","Araneae","Linyphiidae","NBNSYS0000009231","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Failed checks"
316,"28929518","iBRC28929518","","iRecord | iRecord general data","Species","Metellina segmentata","","spider (Araneae)","Animalia","Araneae","Tetragnathidae","NHMSYS0000354310","Little Heath, Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","mixed","adult","A","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 19:47","18/12/2022 19:47","Unconfirmed","Not reviewed","","","","","Failed checks"
317,"28929272","iBRC28929272","","iRecord | iRecord general data","Species","Forficula auricularia","Common Earwig","insect - earwig (Dermaptera)","Animalia","Dermaptera","Forficulidae","NHMSYS0001387317","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","O","FALSE","","Contract with Cheshire East Warden Service","","18/12/2022 18:42","18/12/2022 18:42","Unconfirmed","Not reviewed","","","","","Passed checks"
318,"28929271","iBRC28929271","","iRecord | iRecord general data","Species","Lithobius (Lithobius) forficatus","","centipede","Animalia","Lithobiomorpha","Lithobiidae","NHMSYS0020500668","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","O","FALSE","","Contract with Cheshire East Warden Service","","18/12/2022 18:42","06/01/2023 18:44","Accepted","Considered correct","","Gregory, Steve","06/01/2023 18:44","","Failed checks"
319,"28929270","iBRC28929270","","iRecord | iRecord general data","Species","Polydesmus angustus","Common Flat-backed Millipede","millipede","Animalia","Polydesmida","Polydesmidae","NBNSYS0000011367","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","adult","R","FALSE","","Contract with Cheshire East Warden Service","","18/12/2022 18:42","18/12/2022 20:33","Accepted","Considered correct","","Gregory, Steve","18/12/2022 20:33","","Failed checks"
320,"28929269","iBRC28929269","","iRecord | iRecord general data","Species","Pemphredon lethifer","Little Black Wasp","insect - hymenopteran","Animalia","Hymenoptera","Crabronidae","NHMSYS0021236761","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Ben Hargreaves","Certain","female","adult","R","FALSE","via FB group","Contract with Cheshire East Warden Service","","18/12/2022 18:42","18/12/2022 18:42","Unconfirmed","Not reviewed","","","","","Failed checks"
321,"28929267","iBRC28929267","","iRecord | iRecord general data","Species","Bombus terrestris","Buff-tailed Bumblebee","insect - hymenopteran","Animalia","Hymenoptera","Apidae","NHMSYS0000875595","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","female","adult","R","FALSE","","Contract with Cheshire East Warden Service","","18/12/2022 18:42","18/12/2022 18:42","Unconfirmed","Not reviewed","","","","","Passed checks"
322,"28929265","iBRC28929265","","iRecord | iRecord general data","Species","Apis mellifera","Western Honey Bee","insect - hymenopteran","Animalia","Hymenoptera","Apidae","NHMSYS0000875423","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","R","FALSE","","Contract with Cheshire East Warden Service","","18/12/2022 18:42","17/03/2023 10:41","Accepted","Considered correct","","Smith, Matt","17/03/2023 10:41","","Passed checks"
323,"28929264","iBRC28929264","","iRecord | iRecord general data","Species","Limax maximus","Great Grey Slug","mollusc","Animalia","Pulmonata","Limacidae","NBNSYS0000006727","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","not recorded","R","FALSE","","Contract with Cheshire East Warden Service","","18/12/2022 18:42","23/12/2022 15:37","Accepted","Considered correct","","du Feu, Chris","23/12/2022 15:37","","Passed checks"
324,"28929263","iBRC28929263","","iRecord | iRecord general data","Species","Arion (Kobeltia) intermedius","Hedgehog Slug","mollusc","Animalia","Pulmonata","Arionidae","NHMSYS0001701906","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","","R","FALSE","Hedgehog","Contract with Cheshire East Warden Service","","18/12/2022 18:42","23/12/2022 15:34","Unconfirmed","Plausible","","du Feu, Chris","23/12/2022 15:34","","Passed checks"
325,"28929262","iBRC28929262","","iRecord | iRecord general data","Species","Arion (Kobeltia) hortensis","Blue-black Soil Slug","mollusc","Animalia","Pulmonata","Arionidae","NHMSYS0020528111","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","","Certain","not recorded","not recorded","R","FALSE","","Contract with Cheshire East Warden Service","","18/12/2022 18:42","23/12/2022 15:34","Unconfirmed","Plausible","","du Feu, Chris","23/12/2022 15:34","","Passed checks"
326,"28929261","iBRC28929261","","iRecord | iRecord general data","Species","Oxychilus (Oxychilus) alliarius","Garlic Snail","mollusc","Animalia","Pulmonata","Oxychilidae","NHMSYS0020528243","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","","R","FALSE","","Contract with Cheshire East Warden Service","","18/12/2022 18:42","03/01/2023 14:21","Accepted","Considered correct","","Rowson, Ben","03/01/2023 14:21","","Passed checks"
327,"28929259","iBRC28929259","","iRecord | iRecord general data","Species","Lumbricus rubellus","Red Worm","annelid","Animalia","Crassiclitellata","Lumbricidae","NBNSYS0000022357","Little Heath Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","20/09/2019","20/09/2019","20/09/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","not recorded","R","FALSE","","Contract with Cheshire East Warden Service","","18/12/2022 18:42","29/12/2022 15:21","Accepted","Considered correct","","Brown, Keiron Derek","29/12/2022 15:21","","Passed checks"
328,"28928135","iBRC28928135","","iRecord | iRecord general data","Species","Orchesella cincta","","springtail (Collembola)","Animalia","Entomobryomorpha","Entomobryidae","NBNSYS0100000414","Little Heath at Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","15/07/2019","15/07/2019","15/07/2019","D","","Bentley, David","","Certain","not recorded","adult","O","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 15:12","18/12/2022 15:12","Unconfirmed","Not reviewed","","","","","Passed checks"
329,"28928134","iBRC28928134","","iRecord | iRecord general data","Species","Lepidocyrtus curvicollis","","springtail (Collembola)","Animalia","Entomobryomorpha","Entomobryidae","NBNSYS0100000353","Little Heath at Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","15/07/2019","15/07/2019","15/07/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","A","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 15:12","18/12/2022 15:12","Unconfirmed","Not reviewed","","","","","Passed checks"
330,"28928132","iBRC28928132","","iRecord | iRecord general data","Species","Isotomurus fucicolus","","springtail (Collembola)","Animalia","Entomobryomorpha","Isotomidae","NHMSYS0020752500","Little Heath at Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","15/07/2019","15/07/2019","15/07/2019","D","","Bentley, David","Bentley, David","Likely","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 15:12","18/12/2022 15:12","Unconfirmed","Not reviewed","","","","","Passed checks"
331,"28928131","iBRC28928131","","iRecord | iRecord general data","Species","Heterosminthurus bilineatus","","springtail (Collembola)","Animalia","Symphypleona","Bourletiellidae","NBNSYS0100000641","Little Heath at Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","15/07/2019","15/07/2019","15/07/2019","D","","Bentley, David","","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 15:12","18/12/2022 15:12","Unconfirmed","Not reviewed","","","","","Passed checks"
332,"28928130","iBRC28928130","","iRecord | iRecord general data","Species","Allacma fusca","","springtail (Collembola)","Animalia","Symphypleona","Sminthuridae","NBNSYS0100000714","Little Heath at Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","15/07/2019","15/07/2019","15/07/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","R","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 15:12","18/12/2022 15:12","Unconfirmed","Not reviewed","","","","","Passed checks"
333,"28928129","iBRC28928129","","iRecord | iRecord general data","Family","Sarcophagidae","","insect - true fly (Diptera)","Animalia","Diptera","Sarcophagidae","NBNSYS0000160931","Little Heath at Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","15/07/2019","15/07/2019","15/07/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","P","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 15:12","18/12/2022 15:12","Unconfirmed","Not reviewed","","","","","Passed checks"
334,"28928128","iBRC28928128","","iRecord | iRecord general data","Family","Calliphoridae","","insect - true fly (Diptera)","Animalia","Diptera","Calliphoridae","NBNSYS0000159565","Little Heath at Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","15/07/2019","15/07/2019","15/07/2019","D","","Bentley, David","","Certain","not recorded","adult","P","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 15:12","18/12/2022 15:12","Unconfirmed","Not reviewed","","","","","Passed checks"
335,"28928127","iBRC28928127","","iRecord | iRecord general data","Species","Scathophaga stercoraria","","insect - true fly (Diptera)","Animalia","Diptera","Scathophagidae","NBNSYS0000030409","Little Heath at Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","15/07/2019","15/07/2019","15/07/2019","D","","Bentley, David","Bentley, David","Certain","not recorded","adult","P","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 15:12","18/12/2022 15:12","Unconfirmed","Not reviewed","","","","","Passed checks"
336,"28928048","iBRC28928048","","iRecord | iRecord general data","Species","Copromyza equina","","insect - true fly (Diptera)","Animalia","Diptera","Sphaeroceridae","NBNSYS0000029131","Little Heath at Brereton Heath","SJ79796502","53.18193578","-2.303791252","OSGB","10","SJ79796502","OSGB","Heathland, scrub, hedgerow","58","Cheshire","15/07/2019","15/07/2019","15/07/2019","D","","Bentley, David","David Brice","Certain","not recorded","adult","O","FALSE","","Contract for Cheshire East Warden Service","","18/12/2022 14:57","18/12/2022 14:57","Unconfirmed","Not reviewed","","","","","Passed checks"
